null	No.	OK	change	protein name	old
R00	4269			Ribosomal RNA small subunit methyltransferase E	16S ribosomal RNA methyltransferase RsmE
R00	4270			Signal recognition particle protein	signal recognition particle protein SRP54
R00	4271			Glutamate--tRNA ligase	glutamate--tRNA ligase
R00	4272			Glycine--tRNA ligase alpha subunit	glycyl-tRNA synthetase subunit alpha
R00	4273			Phenylalanine--tRNA ligase beta subunit	phenylalanyl-tRNA synthetase subunit beta
R00	4274			Sec-independent protein translocase protein TatA	twin arginine translocase protein A
R00	4275			Protein Thf1	Thf1
R00	4276			3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	cyclic 3',5'-adenosine monophosphate phosphodiesterase
R00	4277			Peptidyl-prolyl cis-trans isomerase	peptidylprolyl isomerase
R00	4278			Enoyl-[acyl-carrier-protein] reductase [NADH]	enoyl-(acyl carrier protein) reductase
R00	4279			Cell division protein FtsX	cell division ABC transporter subunit FtsX
R00	4280			Maf-like protein maf	septum formation protein Maf
R00	4281			Dihydrofolate reductase	dihydrofolate reductase
U00	4282			Periplasmic multidrug efflux lipoprotein	periplasmic multidrug efflux lipoprotein precursor
R00	4283			Phosphate-transporting ATPase	phosphate ABC transporter ATP-binding protein
R00	4284			Acetylornithine aminotransferase	4-aminobutyrate aminotransferase
R00	4285			ATP synthase subunit alpha	F0F1 ATP synthase subunit alpha
R00	4286			ATP synthase subunit b	F0F1 ATP synthase subunit B
R00	4287			UPF0060 membrane protein GKIL_1697	hypothetical protein
R00	4288			UPF0284 protein GKIL_2228	hypothetical protein
R00	4289			Probable transcriptional regulatory protein GKIL_3490	hypothetical protein
R00	4290			Nucleotide-binding protein GKIL_4451	glmZ(sRNA)-inactivating NTPase
R00	4291			UPF0061 protein ETSB_0303	hypothetical protein
R00	4292			UPF0296 protein ETSB_0233	hypothetical protein
R00	4293			UPF0182 protein ETSB_0670	hypothetical protein
R00	4294			Probable transcriptional regulatory protein ETSB_0281	hypothetical protein
R00	4295			ATP-dependent Clp protease proteolytic subunit	ATP-dependent Clp protease
R00	4296			Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein	protochlorophyllide reductase iron-sulfur ATP-binding protein
R00	4297			Cytochrome f	apocytochrome f
R00	4298			Cytochrome b6	cytochrome b6
R00	4299			DNA ligase	NAD-dependent DNA ligase LigA
R00	4300			Signal recognition particle receptor FtsY	cell division protein
R00	4301			Histidinol-phosphate aminotransferase	histidinol phosphate aminotransferase
R00	4302			1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino) methylideneamino] imidazole-4-carboxamide isomerase
R00	4303			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	tRNA uridine 5-carboxymethylaminomethyl modification protein GidA
R00	4304			UDP-N-acetylmuramoylalanine--D-glutamate ligase	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
R00	4305			Cysteine desulfurase	cysteine desulfurase, SufS subfamily
R00	4306			NAD(P)H-quinone oxidoreductase subunit N	NADH dehydrogenase I subunit N
R00	4307			NAD(P)H-quinone oxidoreductase subunit N	NADH dehydrogenase subunit N
R00	4308			Probable phosphoketolase	putative phosphoketolase
R00	4309			Primosomal protein N'	primosome assembly protein PriA
R00	4310			Release factor glutamine methyltransferase	protoporphyrinogen oxidase
R00	4311			Glutamate 5-kinase	gamma-glutamyl kinase
R00	4312			Probable 30S ribosomal protein PSRP-3	ribosomal protein PSRP-3/Ycf65
R00	4313			Ribosomal RNA large subunit methyltransferase H	rRNA large subunit methyltransferase
R00	4314			Protein translocase subunit SecY	preprotein translocase subunit SecY
R00	4315			Ribosomal RNA small subunit methyltransferase B	rRNA SAM-dependent methyltransferase
R00	4316			Ribosomal RNA small subunit methyltransferase E	hypothetical protein
R00	4317			Sugar fermentation stimulation protein homolog	sugar fermentation stimulation protein A
R00	4318			Putative tRNA (cytidine(34)-2'-O)-methyltransferase	RNA methyltransferase, TrmH family, group 2
R00	4319			Ribosome-binding ATPase YchF	GTP-dependent nucleic acid-binding protein EngD
R00	4320			Methyltransferase	DNA methylase N-4/N-6 domain-containing protein
R00	4321			5-formyltetrahydrofolate cyclo-ligase	putative 5-formyltetrahydrofolate cyclo-ligase
R00	4322			RNA polymerase sigma factor	group 2 sigma-70 RNA polymerase sigma factor E
R00	4323			Glycogen operon protein GlgX homolog	glycogen debranching protein
R00	4324			DNA helicase	ATP-dependent DNA helicase Rep
R00	4325			Glutamate dehydrogenase	Glu/Leu/Phe/Val dehydrogenase
R00	4326			Macrolide export ATP-binding/permease protein MacB	ABC transporter, ATP-binding protein
R00	4327			3-isopropylmalate dehydratase	isopropylmalate isomerase small subunit
R00	4328			tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ	RNA methyltransferase
R00	4329			D,D-heptose 1,7-bisphosphate phosphatase	histidinol-phosphate phosphatase
R00	4330			Alkanesulfonate monooxygenase	alkanesulfonate monooxygenase
R00	4331			Cysteine desulfurase IscS	cysteine desulfurase
U00	4332			Secreted protein MPB70	secreted protein MPB70 precursor
R00	4333			Arginine biosynthesis bifunctional protein ArgJ	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase
R00	4334			ATP synthase epsilon chain	F0F1 ATP synthase subunit epsilon
R00	4335			UPF0272 protein ETSB_0087	hypothetical protein
R00	4336			Nucleoid-associated protein ETSB_1668	hypothetical protein
R00	4337			ATP-dependent Clp protease proteolytic subunit	ATP-dependent Clp protease-like protein
R00	4338			Phosphopantetheine adenylyltransferase	coenzyme A biosynthesis protein
R00	4339			ATP-dependent Clp protease adapter protein ClpS	putative ATP-dependent Clp protease adaptor protein
R00	4340			Chaperone protein ClpB	ATP-dependent Clp protease ATP-binding subunit
R00	4341			3-oxoacyl-[acyl-carrier-protein] synthase 3	3-oxoacyl-ACP synthase
R00	4342			Deoxyuridine 5'-triphosphate nucleotidohydrolase	deoxyuridine 5'triphosphate nucleotidohydrolase
R00	4343			Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	glutamyl-tRNA (Gln) amidotransferase subunit C
R00	4344			Ferredoxin-thioredoxin reductase, catalytic chain	ferredoxin thioredoxin reductase catalytic chain
R00	4345			Bifunctional protein GlmU	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
R00	4346			Hydroxyacylglutathione hydrolase	glyoxalase II
R00	4347			Glycerol-3-phosphate dehydrogenase	glycerol-3-phosphate dehydrogenase
R00	4348			Histidine biosynthesis bifunctional protein HisIE	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase
R00	4349			Isoprenyl transferase	undecaprenyl pyrophosphate synthase
R00	4350			tRNA dimethylallyltransferase	tRNA delta-2-isopentenylpyrophosphate transferase
R00	4351			Octanoyltransferase	lipoyltransferase
R00	4352			Mini-ribonuclease 3	putative ribonuclease III
R00	4353			NAD(P)H-quinone oxidoreductase subunit L	NADH dehydrogenase subunit L
R00	4354			Nitrogenase-stabilizing/protective protein NifW	nitrogenase stabilizing/protective protein
R00	4355			NAD(P)H-quinone oxidoreductase subunit M	NADH dehydrogenase subunit O
R00	4356			Non-canonical purine NTP pyrophosphatase	putative Ham1-like protein
R00	4357			Cytochrome b6-f complex subunit 8	cytochrome b6-f complex subunit PetN
R00	4358			Cytochrome b6-f complex subunit 7	putative cytochrome b6-f complex subunit
R00	4359			Putative pterin-4-alpha-carbinolamine dehydratase	putative pterin-4-alpha-carbinolamine dehydratase
R00	4360			Phosphate acyltransferase	putative glycerol-3-phosphate acyltransferase PlsX
R00	4361			N5-carboxyaminoimidazole ribonucleotide mutase	phosphoribosylaminoimidazole carboxylase
R00	4362			7-cyano-7-deazaguanine synthase	transcriptional regulator
R00	4363			NADPH-dependent 7-cyano-7-deazaguanine reductase	putative GTP cyclohydrolase I
R00	4364			Bifunctional protein PyrR	bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase
R00	4365			7-carboxy-7-deazaguanine synthase	radical SAM protein
R00	4366			Probable alpha-L-glutamate ligase	putative S6 modification enzyme
R00	4367			Ribonuclease P protein component	ribonuclease P
R00	4368			Putative ribosome biogenesis GTPase RsgA	ribosome-associated GTPase
R00	4369			Polyamine aminopropyltransferase	spermine synthase
R00	4370			Transaldolase	transaldolase AB family
R00	4371			Sec-independent protein translocase protein TatC	Sec-independent protein translocase protein
R00	4372			Protein Thf1	Thf1-like protein
R00	4373			Putative tRNA (cytidine(34)-2'-O)-methyltransferase	tRNA/rRNA methyltransferase
R00	4374			tRNA N6-adenosine threonylcarbamoyltransferase	putative DNA-binding/iron metalloprotein/AP endonuclease
R00	4375			Undecaprenyl-diphosphatase	bacitracin resistance protein
R00	4376			Putative pre-16S rRNA nuclease	Holliday junction resolvase-like protein
R00	4377			Cytosine-specific methyltransferase	C-5 cytosine-specific DNA methylase
R00	4378			tRNA-specific adenosine deaminase	putative cytidine/deoxycytidylate deaminase
R00	4379			6-carboxy-5,6,7,8-tetrahydropterin synthase	putative 6-pyruvoyl tetrahydrobiopterin synthase
R00	4380			Riboflavin biosynthesis protein	riboflavin biosynthesis protein
R00	4381			Zinc metalloprotease	putative peptidase M50
R00	4382			Histidine kinase	adaptive-response sensory kinase
R00	4383			Coproporphyrinogen-III oxidase	oxygen independent coprophorphyrinogen III oxidase 1
R00	4384			Putative Holliday junction resolvase	putative resolvase, RNase H-like fold
R00	4385			Aconitate hydratase B	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
R00	4386			tRNA-dihydrouridine synthase	tRNA-dihydrouridine synthase A
R00	4387			DNA helicase	putative UvrD/REP helicase
R00	4388			DNA helicase	ATP-dependent DNA helicase
R00	4389			Transport permease protein	putative ABC transporter permease, ABC-2
R00	4390			Site-determining protein	septum site-determining protein
R00	4391			NAD(P) transhydrogenase subunit beta	pyridine nucleotide transhydrogenase subunit beta
R00	4392			Methylenetetrahydrofolate reductase	putative methylenetetrahydrofolate reductase
R00	4393			Ribonucleoside-diphosphate reductase	ribonucleoside-diphosphate reductase subunit alpha
R00	4394			Ribonucleoside-diphosphate reductase subunit beta	ribonucleoside-diphosphate reductase subunit beta
R00	4395			Exoribonuclease II	putative transport protein
U02	4396			hypothetical protein	protein of unknown function DUF1211
U02	4397			hypothetical protein	protein of unknown function DUF82
U02	4398			hypothetical protein	Protein of unknown function DUF1802
U02	4399			hypothetical protein	Domain of unknown function DUF1957
U02	4400			hypothetical protein	Protein of unknown function DUF2137
U02	4401			hypothetical protein	Protein of unknown function DUF2157, membrane
U02	4402			hypothetical protein	protein of unknown function DUF98
U02	4403			hypothetical protein	protein of unknown function DUF201
U02	4404			hypothetical protein	Domain of unknown function DUF1821
U02	4405			hypothetical protein	protein of unknown function DUF1460
U02	4406			hypothetical protein	Protein of unknown function DUF1778
R00	4407			Probable transcriptional regulatory protein Cyan7822_5416	protein of unknown function DUF28
R00	4408			Maf-like protein Cyan7822_3866	maf protein
R00	4409			UPF0176 protein Cyan7822_0271	Rhodanese domain protein
R00	4410			Cyanate hydratase	cyanate lyase
R00	4411			D-alanine--D-alanine ligase	D-alanine/D-alanine ligase
R00	4412			Elongation factor Ts	elongation factor TS
R00	4413			Probable RNA 2'-phosphotransferase	phosphotransferase KptA/Tpt1
R00	4414			Thymidylate kinase	putative thymidylate kinase
R00	4415			NAD(P)H-quinone oxidoreductase subunit J	NADH dehydrogenase (ubiquinone) 30 kDa subunit
R00	4416			Phycoerythrobilin:ferredoxin oxidoreductase	ferredoxin-dependent bilin reductase
R00	4417			Proton extrusion protein PcxA	proton extrusion protein PcxA
R00	4418			Photosystem I reaction center subunit IV	photosystem I reaction centre subunit IV/PsaE
R00	4419			S-adenosylmethionine:tRNA ribosyltransferase-isomerase	S-adenosylmethionine/tRNA-ribosyltransferase-isomerase
R00	4420			50S ribosomal protein L14	ribosomal protein L14
R00	4421			50S ribosomal protein L29	ribosomal protein L29
R00	4422			50S ribosomal protein L35	ribosomal protein L35
R00	4423			50S ribosomal protein L36	ribosomal protein L36
R00	4424			50S ribosomal protein L22	ribosomal protein L22
R00	4425			Protein translocase subunit SecA	preprotein translocase, SecA subunit
R00	4426			Protein translocase subunit SecD	preprotein translocase subunit SecD
R00	4427			5'-nucleotidase SurE	stationary-phase survival protein SurE
R00	4428			Isocitrate dehydrogenase [NADP]	isocitrate dehydrogenase
R00	4429			LexA repressor	transcriptional repressor, LexA family
R00	4430			6-phosphofructokinase	phosphofructokinase
U00	4431			HLIP single helix LHC light protein	HLIP; single helix LHC light protein
U02	4432			hypothetical protein	Domain of unknown function DUF1824
U02	4433			hypothetical protein	protein of unknown function DUF1003
U02	4434			hypothetical protein	Domain of unknown function DUF2382-like protein
U02	4435			hypothetical protein	Domain of unknown function DUF1863
U02	4436			hypothetical protein	protein of unknown function DUF891
U02	4437			hypothetical protein	protein of unknown function DUF470
U02	4438			hypothetical protein	protein of unknown function DUF980
U02	4439			hypothetical protein	protein of unknown function zinc metallopeptidase putative
U02	4440			hypothetical protein	domain of unknown function DUF1727
U01	4441			PilA protein	PilA
R00	4442			Acetylornithine aminotransferase	acetylornithine and succinylornithine aminotransferase
R00	4443			UPF0367 protein Cyan7822_5533	conserved hypothetical protein
R00	4444			PKHD-type hydroxylase Cyan7822_3488	2OG-Fe(II) oxygenase
R00	4445			4-hydroxy-4-methyl-2-oxoglutarate aldolase	regulator of ribonuclease activity A
R00	4446			FO synthase subunit 1	Radical SAM domain protein
R00	4447			3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ
R00	4448			Putative gluconeogenesis factor	protein of unknown function UPF0052 and CofD
R00	4449			33 kDa chaperonin	Hsp33 protein
R00	4450			Leucyl/phenylalanyl-tRNA--protein transferase	leucyl/phenylalanyl-tRNA/protein transferase
R00	4451			Endonuclease V	Deoxyribonuclease V
R00	4452			NAD(P)H-quinone oxidoreductase subunit 1	respiratory-chain NADH dehydrogenase subunit 1
R00	4453			Gamma-glutamyl phosphate reductase	Glutamate-5-semialdehyde dehydrogenase
R00	4454			Phosphate import ATP-binding protein PstB	ABC transporter related protein
R00	4455			Phosphoribosylamine--glycine ligase	phosphoribosylamine/glycine ligase
R00	4456			50S ribosomal protein L11	ribosomal protein L11
R00	4457			50S ribosomal protein L18	ribosomal protein L18
R00	4458			50S ribosomal protein L27	ribosomal protein L27
R00	4459			50S ribosomal protein L28	ribosomal protein L28
R00	4460			50S ribosomal protein L6	ribosomal protein L6
R00	4461			30S ribosomal protein S18	ribosomal protein S18
R00	4462			Cell division protein SepF	protein of unknown function DUF552
R00	4463			Putative membrane protein insertion efficiency factor	protein of unknown function DUF37
R00	4464			Peptidyl-prolyl cis-trans isomerase	peptidylprolyl isomerase FKBP-type
R00	4465			Aldehyde-alcohol dehydrogenase	iron-containing alcohol dehydrogenase
U02	4466			hypothetical protein	protein of unknown function DUF608
U02	4467			hypothetical protein	protein of unknown function DUF1230
U02	4468			hypothetical protein	protein of unknown function DUF892
U02	4469			hypothetical protein	protein of unknown function DUF927
